Date,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
3/1/1981,,,,14.7,,7.4,10
4/1/1981,,,,15.72,-2.9,7.2,9.5
5/1/1981,,,,18.52,,7.5,9.5
6/1/1981,,,,19.1,,7.5,9.4
7/1/1981,,,,19.04,4.7,7.2,11.1
8/1/1981,,,,17.82,,7.4,11.6
9/1/1981,,,,15.87,,7.6,11.8
10/1/1981,,,,15.08,-4.6,7.9,10.9
11/1/1981,,,,13.31,,8.3,10.2
12/1/1981,,,,12.37,,8.5,9.5
1/1/1982,,,,13.22,-6.5,8.6,9.3
2/1/1982,,,,14.78,,8.9,9.1
3/1/1982,,,,14.68,,9,8.8
4/1/1982,,,,14.94,2.2,9.3,8.9
5/1/1982,,,,14.45,,9.4,8.7
6/1/1982,,,,14.15,,9.6,8.6
7/1/1982,,,,12.59,-1.4,9.8,7.6
8/1/1982,,,,10.12,,9.8,7.1
9/1/1982,,,,10.31,,10.1,5.9
9/27/1982,10.25,,,,,,
10/1/1982,10,,,9.71,0.4,10.4,5.9
10/7/1982,9.5,,,,,,
11/1/1982,9.5,,,9.2,,10.8,5.3
11/19/1982,9,,,,,,
12/1/1982,9,,,8.95,,10.8,4.5
12/14/1982,8.5,,,,,,
1/1/1983,8.5,,,8.68,5.3,10.4,4.7
2/1/1983,8.5,,,8.51,,10.4,4.7
3/1/1983,8.5,,,8.77,,10.3,4.7
3/31/1983,8.625,,,,,,
4/1/1983,8.625,,,8.8,9.4,10.2,4.3
5/1/1983,8.625,,,8.63,,10.1,3.6
5/25/1983,8.75,,,,,,
6/1/1983,8.75,,,8.98,,10.1,2.9
6/24/1983,9,,,,,,
7/1/1983,9,,,9.37,8.1,9.4,3
7/14/1983,9.25,,,,,,
7/20/1983,9.4375,,,,,,
8/1/1983,9.4375,,,9.56,,9.5,3
8/11/1983,9.5625,,,,,,
8/17/1983,9.5,,,,,,
9/1/1983,9.5,,,9.45,,9.2,3.5
9/15/1983,9.375,,,,,,
10/1/1983,9.375,,,9.48,8.5,8.8,3.7
11/1/1983,9.375,,,9.34,,8.5,4.3
12/1/1983,9.375,,,9.47,,8.3,4.8
1/1/1984,9.375,,,9.56,8.2,8,4.8
2/1/1984,9.375,,,9.59,,7.8,4.8
3/1/1984,9.375,,,9.91,,7.8,5
3/29/1984,10.5,,,,,,
4/1/1984,10.5,,,10.29,7.2,7.7,5
5/1/1984,10.5,,,10.32,,7.4,5.2
6/1/1984,10.5,,,11.06,,7.2,5.1
7/1/1984,10.5,,,11.23,4,7.5,5
7/5/1984,11,,,,,,
7/19/1984,11.25,,,,,,
8/1/1984,11.25,,,11.64,,7.5,5.1
8/9/1984,11.5,,,,,,
9/1/1984,11.5,,,11.3,,7.3,5.1
9/20/1984,11.25,,,,,,
9/27/1984,11,,,,,,
10/1/1984,11,,,9.99,3.2,7.4,4.9
10/11/1984,10.5,,,,,,
10/18/1984,10,,,,,,
11/1/1984,10,,,9.43,,7.2,4.6
11/8/1984,9.5,,,,,,
11/23/1984,9,,,,,,
12/1/1984,9,,,8.38,,7.3,4.7
12/6/1984,8.75,,,,,,
12/19/1984,8.5,,,,,,
12/24/1984,8.125,,,,,,
1/1/1985,8.125,,,8.35,4,7.3,4.5
1/24/1985,8.25,,,,,,
2/1/1985,8.25,,,8.5,,7.2,4.7
2/14/1985,8.375,,,,,,
3/1/1985,8.375,,,8.58,,7.2,4.8
3/28/1985,8.5,,,,,,
4/1/1985,8.5,,,8.27,3.7,7.3,4.5
4/25/1985,8.25,,,,,,
5/1/1985,8.25,,,7.97,,7.2,4.5
5/20/1985,7.75,,,,,,
6/1/1985,7.75,,,7.53,,7.4,4.4
7/1/1985,7.75,,,7.88,6.4,7.4,4.2
7/11/1985,7.6875,,,,,,
8/1/1985,7.75,,,7.9,,7.1,4.1
8/21/1985,7.8125,,,,,,
9/1/1985,7.8125,,,7.92,,7.1,4
9/6/1985,8,,,,,,
10/1/1985,8,,,7.99,3,7.1,4.1
11/1/1985,8,,,8.05,,7,4.4
12/1/1985,8,,,8.27,,7,4.3
12/18/1985,7.75,,,,,,
1/1/1986,7.75,,,8.14,3.8,6.7,4.4
2/1/1986,7.75,,,7.86,,7.2,4.2
3/1/1986,7.75,,,7.48,,7.2,4.1
3/7/1986,7.25,,,,,,
4/1/1986,7.25,,,6.99,1.9,7.1,4.2
4/2/1986,7.3125,,,,,,
4/21/1986,6.75,,,,,,
5/1/1986,6.75,,,6.85,,7.2,4
5/22/1986,6.8125,,,,,,
6/1/1986,6.8125,,,6.92,,7.2,4
6/5/1986,6.875,,,,,,
7/1/1986,6.875,,,6.56,4.1,7,4.1
7/11/1986,6.375,,,,,,
8/1/1986,6.375,,,6.17,,6.9,4
8/21/1986,5.875,,,,,,
9/1/1986,5.875,,,5.89,,7,4.1
10/1/1986,5.875,,,5.85,2.1,7,4
11/1/1986,5.875,,,6.04,,6.9,3.8
12/1/1986,5.875,,,6.91,,6.6,3.8
1/1/1987,5.875,,,6.43,2.8,6.6,3.8
1/5/1987,6,,,,,,
2/1/1987,6,,,6.1,,6.6,3.8
3/1/1987,6,,,6.13,,6.6,4
4/1/1987,6,,,6.37,4.6,6.3,4.2
4/30/1987,6.5,,,,,,
5/1/1987,6.5,,,6.85,,6.3,4.2
5/22/1987,6.75,,,,,,
6/1/1987,6.75,,,6.73,,6.2,4.1
7/1/1987,6.75,,,6.58,3.7,6.1,4
7/2/1987,6.625,,,,,,
8/1/1987,6.625,,,6.73,,6,4.2
8/27/1987,6.75,,,,,,
9/1/1987,6.75,,,7.22,,5.9,4.3
9/3/1987,6.875,,,,,,
9/4/1987,7.25,,,,,,
9/24/1987,7.3125,,,,,,
10/1/1987,7.3125,,,7.29,6.8,6,4.3
11/1/1987,7.3125,,,6.69,,5.8,4.4
11/4/1987,6.8125,,,,,,
12/1/1987,6.8125,,,6.77,,5.7,4.2
1/1/1988,6.8125,,,6.83,2.3,5.7,4.3
1/28/1988,6.625,,,,,,
2/1/1988,6.625,,,6.58,,5.7,4.3
2/11/1988,6.5,,,,,,
3/1/1988,6.5,,,6.58,,5.7,4.4
3/30/1988,6.75,,,,,,
4/1/1988,6.75,,,6.87,5.4,5.4,4.3
5/1/1988,6.75,,,7.09,,5.6,4.3
5/9/1988,7,,,,,,
5/25/1988,7.25,,,,,,
6/1/1988,7.25,,,7.51,,5.4,4.5
6/22/1988,7.4375,,,,,,
7/1/1988,7.5,,,7.75,2.3,5.4,4.5
7/19/1988,7.6875,,,,,,
8/1/1988,7.6875,,,8.01,,5.6,4.4
8/8/1988,7.75,,,,,,
8/9/1988,8.125,,,,,,
9/1/1988,8.125,,,8.19,,5.4,4.4
10/1/1988,8.125,,,8.3,5.4,5.4,4.5
11/1/1988,8.125,,,8.35,,5.3,4.4
11/17/1988,8.3125,,,,,,
11/22/1988,8.375,,,,,,
12/1/1988,8.375,,,8.76,,5.3,4.7
12/15/1988,8.6875,,,,,,
1/1/1989,8.6875,,,9.12,4.1,5.4,4.6
1/5/1989,9,,,,,,
2/1/1989,9,,,9.36,,5.2,4.8
2/9/1989,9.125,,,,,,
2/14/1989,9.3125,,,,,,
2/24/1989,9.75,,,,,,
3/1/1989,9.75,,,9.85,,5,4.7
4/1/1989,9.75,,,9.84,3.2,5.2,4.6
5/1/1989,9.75,,,9.81,,5.2,4.6
5/17/1989,9.8125,,,,,,
6/1/1989,9.8125,,,9.53,,5.3,4.5
6/6/1989,9.5625,,,,,,
7/1/1989,9.5625,,,9.24,3,5.2,4.6
7/7/1989,9.3125,,,,,,
7/27/1989,9.0625,,,,,,
8/1/1989,9.0625,,,8.99,,5.2,4.4
9/1/1989,9.0625,,,9.02,,5.3,4.3
10/1/1989,9.0625,,,8.84,0.9,5.3,4.3
10/19/1989,8.75,,,,,,
11/1/1989,8.75,,,8.55,,5.4,4.4
11/6/1989,8.5,,,,,,
12/1/1989,8.5,,,8.45,,5.4,4.4
12/20/1989,8.25,,,,,,
1/1/1990,8.25,,,8.23,4.5,5.4,4.4
2/1/1990,8.25,,,8.24,,5.3,4.6
3/1/1990,8.25,,,8.28,,5.2,4.9
4/1/1990,8.25,,,8.26,1.6,5.4,4.8
5/1/1990,8.25,,,8.18,,5.4,4.8
6/1/1990,8.25,,,8.29,,5.2,4.9
7/1/1990,8.25,,,8.15,0.1,5.5,5
7/13/1990,8,,,,,,
8/1/1990,8,,,8.13,,5.7,5.5
9/1/1990,8,,,8.2,,5.9,5.5
10/1/1990,8,,,8.11,-3.4,5.9,5.3
10/29/1990,7.75,,,,,,
11/1/1990,7.75,,,7.81,,6.2,5.3
11/14/1990,7.5,,,,,,
12/1/1990,7.5,,,7.31,,6.3,5.2
12/7/1990,7.25,,,,,,
12/19/1990,7,,,,,,
1/1/1991,7,,,6.91,-1.9,6.4,5.6
1/9/1991,6.75,,,,,,
2/1/1991,6.25,,,6.25,,6.6,5.6
3/1/1991,6.25,,,6.12,,6.8,5.2
3/8/1991,6,,,,,,
4/1/1991,6,,,5.91,3.1,6.7,5.1
4/30/1991,5.75,,,,,,
5/1/1991,5.75,,,5.78,,6.9,5.1
6/1/1991,5.75,,,5.9,,6.9,5
7/1/1991,5.75,,,5.82,1.9,6.8,4.8
8/1/1991,5.75,,,5.66,,6.9,4.6
8/6/1991,5.5,,,,,,
9/1/1991,5.5,,,5.45,,6.9,4.5
9/13/1991,5.25,,,,,,
10/1/1991,5.25,,,5.21,1.8,7,4.4
10/31/1991,5,,,,,,
11/1/1991,5,,,4.81,,7,4.5
11/6/1991,4.75,,,,,,
12/1/1991,4.75,,,4.43,,7.3,4.4
12/6/1991,4.5,,,,,,
12/20/1991,4,,,,,,
1/1/1992,4,,,4.03,4.8,7.3,3.9
2/1/1992,4,,,4.06,,7.4,3.8
3/1/1992,4,,,3.98,,7.4,3.9
4/1/1992,4,,,3.73,4.5,7.4,3.9
4/9/1992,3.75,,,,,,
5/1/1992,3.75,,,3.82,,7.6,3.8
6/1/1992,3.75,,,3.76,,7.8,3.8
7/1/1992,3.75,,,3.25,3.9,7.7,3.7
7/2/1992,3.25,,,,,,
8/1/1992,3.25,,,3.3,,7.6,3.5
9/1/1992,3.25,,,3.22,,7.6,3.3
9/4/1992,3,,,,,,
10/1/1992,3,,,3.1,4.1,7.3,3.5
11/1/1992,3,,,3.09,,7.4,3.4
12/1/1992,3,,,2.92,,7.4,3.3
1/1/1993,3,,,3.02,0.8,7.3,3.5
2/1/1993,3,,,3.03,,7.1,3.6
3/1/1993,3,,,3.07,,7,3.4
4/1/1993,3,,,2.96,2.4,7.1,3.5
5/1/1993,3,,,3,,7.1,3.4
6/1/1993,3,,,3.04,,7,3.3
7/1/1993,3,,,3.06,2,6.9,3.2
8/1/1993,3,,,3.03,,6.8,3.3
9/1/1993,3,,,3.09,,6.7,3.2
10/1/1993,3,,,2.99,5.4,6.8,3
11/1/1993,3,,,3.02,,6.6,3.1
12/1/1993,3,,,2.96,,6.5,3.2
1/1/1994,3,,,3.05,4,6.6,2.9
2/1/1994,3,,,3.25,,6.6,2.8
2/4/1994,3.25,,,,,,
3/1/1994,3.25,,,3.34,,6.5,2.9
3/22/1994,3.5,,,,,,
4/1/1994,3.5,,,3.56,5.6,6.4,2.8
4/18/1994,3.75,,,,,,
5/1/1994,3.75,,,4.01,,6.1,2.8
5/17/1994,4.25,,,,,,
6/1/1994,4.25,,,4.25,,6.1,2.9
7/1/1994,4.25,,,4.26,2.4,6.1,2.9
8/1/1994,4.25,,,4.47,,6,2.9
8/16/1994,4.75,,,,,,
9/1/1994,4.75,,,4.73,,5.9,3
10/1/1994,4.75,,,4.76,4.6,5.8,2.9
11/1/1994,4.75,,,5.29,,5.6,2.8
11/15/1994,5.5,,,,,,
12/1/1994,5.5,,,5.45,,5.5,2.6
1/1/1995,5.5,,,5.53,1.4,5.6,2.9
2/1/1995,6,,,5.92,,5.4,3
3/1/1995,6,,,5.98,,5.4,3
4/1/1995,6,,,6.05,1.4,5.8,3.1
5/1/1995,6,,,6.01,,5.6,3.1
6/1/1995,6,,,6,,5.6,3
7/1/1995,6,,,5.85,3.5,5.7,3
7/6/1995,5.75,,,,,,
8/1/1995,5.75,,,5.74,,5.7,2.9
9/1/1995,5.75,,,5.8,,5.6,2.9
10/1/1995,5.75,,,5.76,2.9,5.5,3
11/1/1995,5.75,,,5.8,,5.6,3
12/1/1995,5.75,,,5.6,,5.6,3
12/19/1995,5.5,,,,,,
1/1/1996,5.5,,,5.56,2.7,5.6,3
1/31/1996,5.25,,,,,,
